student;algo_type;PenID;Date;Time;TagID;BirdID;Zone;VideoAnalyse;Comment;next_was_missed;last_zone_longer_than_60sec;duration_MissedTransition;systemgantnerid;is_first_observation;useless_zone;signalstrength;zone2;signalstzone2;zone3;signalstrzone3;zone4;signalstrzone4;BatchID
Masha;cleaning;3;16.10.2020;15:50:38;3;3sb;Tier 2 + untere Stange;1;;;;;1;;2;9;1;5;6;4;4;1;
Masha;cleaning;3;16.10.2020;15:55:26;3;3sb;Tier 3 Rampe + Nestbox;1;;;;;1;;3;16;2;7;4;6;6;5;
Masha;cleaning;3;16.10.2020;15:58:44;3;3sb;Tier 4 + obere Stange;1;obere stange  AKB  (just above/ in front of z3);;;;1;;4;11;3;2;0;0;0;0;
Masha;cleaning;;;;;;;;;;;;;;;;;;;;;;
Masha;cleaning;3;17.10.2020;01:46:47;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;3;0;0;
Masha;cleaning;3;17.10.2020;01:48:11;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;01:48:18;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;10;2;8;1;3;0;0;
Masha;cleaning;3;17.10.2020;01:49:20;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;01:49:28;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;3;0;0;
Masha;cleaning;3;17.10.2020;01:50:45;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;01:50:59;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;3;0;0;
Masha;cleaning;3;17.10.2020;01:55:29;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;4;0;0;0;0;
Masha;cleaning;3;17.10.2020;01:55:36;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;3;0;0;
Masha;cleaning;3;17.10.2020;01:57:59;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;01:58:32;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;3;0;0;
Masha;cleaning;3;17.10.2020;02:00:06;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;02:00:21;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;3;0;0;
Masha;cleaning;3;17.10.2020;02:02:43;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;02:03:06;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;4;0;0;
Masha;cleaning;3;17.10.2020;02:05:23;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;02:06:30;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;3;0;0;
Masha;cleaning;3;17.10.2020;02:06:53;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;02:08:48;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;3;0;0;
Masha;cleaning;3;17.10.2020;02:10:48;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;02:11:06;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;4;0;0;
Masha;cleaning;3;17.10.2020;02:12:24;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;8;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;02:13:12;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;3;0;0;
Masha;cleaning;3;17.10.2020;02:17:59;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;02:21:40;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;1;4;0;0;0;0;
Masha;cleaning;3;17.10.2020;02:22:03;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;02:22:59;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;3;0;0;
Masha;cleaning;3;17.10.2020;02:25:15;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;02:31:11;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;3;0;0;
Masha;cleaning;3;17.10.2020;02:34:29;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;9;1;4;0;0;0;0;
Masha;cleaning;3;17.10.2020;02:35:23;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;3;0;0;
Masha;cleaning;;;;;;;;;;;;;;;;;;;;;;
Masha;cleaning;3;17.10.2020;06:17:08;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;10;2;4;1;3;0;0;
Masha;cleaning;3;17.10.2020;06:23:05;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;4;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;06:23:09;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;4;1;3;0;0;
Masha;cleaning;3;17.10.2020;06:29:16;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;5;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;06:29:25;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;5;1;4;0;0;
Masha;cleaning;3;17.10.2020;06:44:59;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;7;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;06:45:06;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;7;1;3;0;0;
Masha;cleaning;3;17.10.2020;06:48:17;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;6;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;06:48:25;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;10;2;6;1;3;0;0;
Masha;cleaning;3;17.10.2020;06:58:14;3;3sb;Tier 2 + untere Stange;0;flickering, still on obere stange  AKB  (just above/ in front of z3)?;;;;1;;2;4;1;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;06:58:22;3;3sb;Tier 4 + obere Stange;1;;;;;1;;4;9;2;5;1;3;0;0;
Masha;cleaning;3;17.10.2020;07:02:47;3;3sb;Tier 3 Rampe + Nestbox;1;still in the dark so hard to tell;;;;1;;3;17;4;10;2;6;1;3;
Masha;cleaning;3;17.10.2020;07:05:53;3;3sb;Tier 2 + untere Stange;1;still in the dark so hard to tell;;;;1;;2;13;3;12;6;4;4;2;
Masha;cleaning;3;17.10.2020;07:08:04;3;3sb;Tier 2 (mini 3);1;still in the dark so hard to tell;;;;1;;6;13;2;7;3;2;1;1;
Masha;cleaning;3;17.10.2020;07:10:36;3;3sb;Tier 1;1;;;;;1;;1;13;0;0;0;0;0;0;
Masha;cleaning;3;17.10.2020;07:19:33;3;3sb;Tier 2 (mini 3);0;went  am rand unter loop 2;;;;1;;6;3;0;0;0;0;0;0;
Masha;cleaning;3;17.10.2020;07:19:38;3;3sb;Tier 1;1;;;;;1;;1;5;6;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;07:28:52;3;3sb;Tier 2 (mini 3);0;;;;;1;;6;3;0;0;0;0;0;0;
Masha;cleaning;3;17.10.2020;07:30:41;3;3sb;Tier 1;1;;;;;1;;1;5;0;0;0;0;0;0;
Masha;cleaning;3;17.10.2020;07:39:06;3;3sb;Tier 2 (mini 3);0;;;;;1;;6;2;0;0;0;0;0;0;
Masha;cleaning;3;17.10.2020;07:40:29;3;3sb;Tier 1;1;;;;;1;;1;4;6;3;0;0;0;0;
Masha;cleaning;3;17.10.2020;07:41:40;3;3sb;Tier 2 + untere Stange;1;;;;;1;;2;17;1;14;6;4;0;0;
Masha;cleaning;3;17.10.2020;07:50:34;3;3sb;Tier 3 Rampe + Nestbox;1;;;;;1;;3;15;2;8;6;3;0;0;
Masha;cleaning;;;;;;;;;;;;;;;;;;;;;;
Masha;cleaning;;;;;;;;;;;;;;;;;;;;;;
Masha;cleaning;5;17.10.2020;11:56:45;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;1;4;3;3;
Masha;cleaning;5;17.10.2020;12:00:19;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;3;3;1;3;
Masha;cleaning;5;17.10.2020;12:03:36;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;1;4;3;3;
Masha;cleaning;5;17.10.2020;12:03:47;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;4;3;3;
Masha;cleaning;5;17.10.2020;12:04:26;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;1;4;3;2;
Masha;cleaning;5;17.10.2020;12:05:04;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;4;3;3;
Masha;cleaning;5;17.10.2020;12:05:13;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;3;3;1;3;
Masha;cleaning;5;17.10.2020;12:05:46;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;5;3;3;
Masha;cleaning;5;17.10.2020;12:06:32;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;1;4;0;0;
Masha;cleaning;5;17.10.2020;12:07:04;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;4;3;2;
