iter	Passed	Remaining
0	16	8298
1	38	9541
2	53	8897
3	69	8637
4	99	9813
5	113	9356
6	128	9043
7	143	8849
8	159	8688
9	169	8286
10	184	8201
11	197	8037
12	232	8711
13	247	8589
14	262	8490
15	278	8422
16	294	8357
17	309	8294
18	326	8253
19	351	8428
20	366	8366
21	382	8321
22	399	8278
23	415	8235
24	432	8210
25	446	8146
26	462	8103
27	477	8053
28	511	8302
29	528	8272
30	545	8250
31	562	8223
32	579	8199
33	596	8177
34	641	8516
35	658	8488
36	674	8444
37	691	8403
38	708	8370
39	725	8340
40	740	8293
41	760	8288
42	775	8239
43	822	8528
44	838	8481
45	855	8442
46	871	8399
47	902	8502
48	919	8459
49	934	8412
50	951	8373
51	966	8327
52	996	8408
53	1012	8363
54	1027	8314
55	1050	8327
56	1066	8287
57	1082	8248
58	1097	8203
59	1113	8163
60	1138	8194
61	1155	8163
62	1172	8130
63	1189	8101
64	1204	8063
65	1228	8077
66	1260	8149
67	1277	8114
68	1292	8075
69	1308	8038
70	1324	8002
71	1340	7966
72	1355	7929
73	1371	7895
74	1387	7859
75	1403	7827
76	1419	7796
77	1457	7883
78	1472	7848
79	1488	7812
80	1503	7779
81	1518	7742
82	1533	7706
83	1549	7675
84	1566	7650
85	1582	7617
86	1613	7660
87	1629	7629
88	1645	7598
89	1661	7567
90	1676	7533
91	1691	7501
92	1741	7621
93	1767	7633
94	1785	7610
95	1802	7587
96	1809	7517
97	1826	7491
98	1835	7434
99	1846	7387
100	1881	7432
101	1885	7356
102	1911	7369
103	1922	7319
104	1937	7289
105	1953	7259
106	1969	7232
107	1984	7203
108	1999	7174
109	2014	7143
110	2030	7114
111	2045	7084
112	2060	7055
113	2075	7028
114	2090	6998
115	2105	6971
116	2109	6904
117	2123	6875
118	2132	6827
119	2147	6799
120	2162	6774
121	2177	6747
122	2193	6724
123	2209	6700
124	2224	6674
125	2239	6648
126	2254	6622
127	2270	6597
128	2285	6572
129	2300	6547
130	2315	6521
131	2332	6503
132	2344	6470
133	2350	6421
134	2366	6397
135	2383	6380
136	2395	6345
137	2433	6382
138	2464	6401
139	2495	6416
140	2526	6432
141	2556	6444
142	2585	6455
143	2601	6431
144	2617	6408
145	2633	6384
146	2642	6346
147	2659	6325
148	2676	6305
149	2694	6286
150	2710	6265
151	2746	6288
152	2762	6264
153	2777	6240
154	2817	6271
155	2844	6273
156	2877	6287
157	2899	6275
158	2925	6273
159	2960	6290
160	2989	6294
161	3007	6275
162	3026	6257
163	3045	6239
164	3065	6223
165	3084	6206
166	3106	6194
167	3121	6168
168	3144	6158
169	3179	6172
170	3199	6156
171	3234	6167
172	3268	6178
173	3292	6168
174	3315	6156
175	3355	6177
176	3371	6153
177	3378	6112
178	3394	6087
179	3400	6044
180	3414	6018
181	3431	5995
182	3446	5971
183	3463	5947
184	3479	5923
185	3494	5899
186	3517	5888
187	3582	5945
188	3609	5939
189	3640	5939
190	3659	5919
191	3675	5895
192	3696	5880
193	3720	5867
194	3751	5868
195	3773	5852
196	3796	5839
197	3833	5847
198	3856	5833
199	3909	5863
200	3933	5851
