"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","modelName"
"1","traitPC2",0.0574311925688446,-0.157815085774928,0.270394087478053,4000,0.5985,"fixed","BV_model_F1"
"2","traitrel_feather",1.0660866642764,0.877781028859317,1.24102983454941,4000.00000000001,0.00025,"fixed","BV_model_F1"
"3","at.level(trait, 1):cDIB_scale",0.855088098599702,0.461360470450018,1.2173352689133,4352.71608121096,0.00025,"fixed","BV_model_F1"
"4","at.level(trait, 1):cDIB2_scale",-1.01573059807958,-1.33147814426047,-0.682671963120811,4000,0.00025,"fixed","BV_model_F1"
"5","at.level(trait, 1):avgDIB_scale",-0.0342238062093047,-0.150369752023835,0.077442491252441,4000,0.5845,"fixed","BV_model_F1"
"6","at.level(trait, 1):temperature_C_avg_scale",-0.0141452910200506,-0.0399617673174362,0.0128914474771591,4000.00000000001,0.3015,"fixed","BV_model_F1"
"7","at.level(trait, 2):Predictability_mean",0.0592699666593213,-0.101333514845464,0.218286003138928,3767.66811768567,0.467,"fixed","BV_model_F1"
"8","at.level(trait, 2):nbr_daysnomvt_over_3days",0.000580277684092332,-0.044349041825626,0.0474319792992901,3999.99999999999,0.991,"fixed","BV_model_F1"
"9","traitPC2:InitialWeight_kg_scale",-0.0627851117854038,-0.186213653083541,0.0424327092623571,4000,0.287,"fixed","BV_model_F1"
"10","traitrel_feather:InitialWeight_kg_scale",-0.0238909432107743,-0.0649256450706162,0.0136282373568974,4000,0.2295,"fixed","BV_model_F1"
"11","traitPC2:Treatment_encoded",-0.0504440296857836,-0.171960704727098,0.060938100948988,4000,0.406,"fixed","BV_model_F1"
"12","traitrel_feather:Treatment_encoded",0.00628637737621415,-0.0338510775145551,0.0484068950318033,4000.00000000001,0.7565,"fixed","BV_model_F1"
"13","traitPC2:CLASSMEXP",-0.0774130245353728,-0.342381494032452,0.19897703701281,4000.00000000001,0.5865,"fixed","BV_model_F1"
"14","traitrel_feather:CLASSMEXP",-0.0128366362971051,-0.106071303995122,0.0842034357883676,4000.00000000001,0.7835,"fixed","BV_model_F1"
"15","traitPC2:CLASSOther",-0.099084049730391,-0.396143201651284,0.194701973960036,3999.99999999999,0.4975,"fixed","BV_model_F1"
"16","traitrel_feather:CLASSOther",0.00185641085870426,-0.0945567633461906,0.104844920657342,4000.00000000001,0.9875,"fixed","BV_model_F1"
"17","traitPC2:traitPC2.HenID",0.315228269729502,0.216334619247952,0.430952562404036,4000.00000000001,NA,"random","BV_model_F1"
"18","traitrel_feather:traitPC2.HenID",-0.00869046603738411,-0.0347332877575757,0.0154459001003349,3484.26231099256,NA,"random","BV_model_F1"
"19","at.level(trait, 1):cDIB_scale:traitPC2.HenID",-0.128320469301128,-0.361460729264609,0.0877076489307194,4149.0484041708,NA,"random","BV_model_F1"
"20","at.level(trait, 1):cDIB2_scale:traitPC2.HenID",0.0209721663312871,-0.178568353439996,0.210826730651101,4127.11637909517,NA,"random","BV_model_F1"
"21","traitPC2:traitrel_feather.HenID",-0.00869046603738411,-0.0347332877575757,0.0154459001003349,3484.26231099256,NA,"random","BV_model_F1"
"22","traitrel_feather:traitrel_feather.HenID",0.0311385618205155,0.0213007370273276,0.0416720402670219,1875.1267658214,NA,"random","BV_model_F1"
"23","at.level(trait, 1):cDIB_scale:traitrel_feather.HenID",0.058349141404674,-0.0105552564159036,0.13786181149839,3452.11266349638,NA,"random","BV_model_F1"
"24","at.level(trait, 1):cDIB2_scale:traitrel_feather.HenID",-0.0520948329130425,-0.1179871587373,0.00971323962919115,3517.63249902805,NA,"random","BV_model_F1"
"25","traitPC2:at.level(trait, 1):cDIB_scale.HenID",-0.128320469301128,-0.36146072926461,0.0877076489307198,4149.0484041708,NA,"random","BV_model_F1"
"26","traitrel_feather:at.level(trait, 1):cDIB_scale.HenID",0.058349141404674,-0.0105552564159036,0.13786181149839,3452.11266349638,NA,"random","BV_model_F1"
"27","at.level(trait, 1):cDIB_scale:at.level(trait, 1):cDIB_scale.HenID",2.59540956801431,1.71133648460836,3.59298382503987,3827.28439918177,NA,"random","BV_model_F1"
"28","at.level(trait, 1):cDIB2_scale:at.level(trait, 1):cDIB_scale.HenID",-2.09856717376371,-2.89278378211778,-1.30853693207866,3763.23771618926,NA,"random","BV_model_F1"
"29","traitPC2:at.level(trait, 1):cDIB2_scale.HenID",0.0209721663312871,-0.178568353439996,0.210826730651101,4127.11637909517,NA,"random","BV_model_F1"
"30","traitrel_feather:at.level(trait, 1):cDIB2_scale.HenID",-0.0520948329130425,-0.1179871587373,0.00971323962919115,3517.63249902805,NA,"random","BV_model_F1"
"31","at.level(trait, 1):cDIB_scale:at.level(trait, 1):cDIB2_scale.HenID",-2.09856717376371,-2.89278378211778,-1.30853693207866,3763.23771618926,NA,"random","BV_model_F1"
"32","at.level(trait, 1):cDIB2_scale:at.level(trait, 1):cDIB2_scale.HenID",1.81784439415358,1.1356169837281,2.51239018178914,3724.92780878365,NA,"random","BV_model_F1"
"33","traitPC2.units",0.426789954253177,0.404997029288151,0.448010695895953,4000,NA,"residual","BV_model_F1"
"34","traitrel_feather.units",1e-04,1e-04,1e-04,0,NA,"residual","BV_model_F1"
