"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","modelName"
"1","traitPC1",-2.17207573048846,-2.66251046083926,-1.65917721806909,2699.99999999999,0.00037037037037037,"fixed","BV_model_S2"
"2","traitrel_severity",1.44287565510046,0.882477012833988,2.00426982795034,2737.95113868233,0.00037037037037037,"fixed","BV_model_S2"
"3","at.level(trait, 1):time",4.53088327284936,3.65240179499961,5.41277618880849,2700,0.00037037037037037,"fixed","BV_model_S2"
"4","at.level(trait, 1):time2",-2.0946698256337,-2.52762416411133,-1.64626869925269,2700,0.00037037037037037,"fixed","BV_model_S2"
"5","at.level(trait, 1):avgDIB_scale",0.0832958013806839,-0.156858768146776,0.358028681323049,1745.7694726195,0.477037037037037,"fixed","BV_model_S2"
"6","at.level(trait, 1):temperature_C_avg_scale",-0.0301766304267362,-0.0509346444887342,-0.010576415254036,2699.99999999999,0.00296296296296296,"fixed","BV_model_S2"
"7","at.level(trait, 2):Predictability_mean",0.478889703035476,0.0128114734834526,0.973427186021581,2842.58201917112,0.0533333333333332,"fixed","BV_model_S2"
"8","at.level(trait, 2):nbr_daysnomvt_over_3days",0.139344469463425,0.00961845222627744,0.266661622903484,2699.99999999999,0.0362962962962963,"fixed","BV_model_S2"
"9","traitPC1:InitialWeight_scale",-0.0693801902393346,-0.225379869494645,0.0815199557691813,2700,0.374814814814815,"fixed","BV_model_S2"
"10","traitrel_severity:InitialWeight_scale",0.0521195556870153,-0.0444227498810505,0.162889003462624,2699.99999999999,0.308888888888889,"fixed","BV_model_S2"
"11","traitPC1:Treatment_encoded",-0.158530290735968,-0.427863822133077,0.110806575306924,2814.42722712516,0.179259259259259,"fixed","BV_model_S2"
"12","traitrel_severity:Treatment_encoded",0.0922712388043849,-0.186515304114437,0.324432603723835,2283.39246862826,0.371111111111111,"fixed","BV_model_S2"
"13","at.level(trait, 2):CLASSMEXP",-0.0570370643675346,-0.287158453189477,0.193475815089187,2700.00000000001,0.644444444444444,"fixed","BV_model_S2"
"14","at.level(trait, 2):CLASSOthers",-0.0281050225582064,-0.290514143714972,0.24422622480779,2700.00000000001,0.848888888888889,"fixed","BV_model_S2"
"15","traitPC1:traitPC1.PenID",0.0974928952087768,1.24042581974212e-07,0.35511033134287,596.883209152002,NA,"random","BV_model_S2"
"16","traitrel_severity:traitPC1.PenID",0.00994908028235752,-0.084745276846607,0.0938315008495774,2700,NA,"random","BV_model_S2"
"17","traitPC1:traitrel_severity.PenID",0.00994908028235752,-0.084745276846607,0.0938315008495774,2700,NA,"random","BV_model_S2"
"18","traitrel_severity:traitrel_severity.PenID",0.102397609058258,0.000653636132336751,0.337074829786102,10.5719006563166,NA,"random","BV_model_S2"
"19","traitPC1:traitPC1.PenID:HenID",3.70342592395837,2.47863153262302,5.05288143475791,2699.99999999999,NA,"random","BV_model_S2"
"20","traitrel_severity:traitPC1.PenID:HenID",-0.0613877470912695,-0.309033005185285,0.181385794908249,2721.23923054589,NA,"random","BV_model_S2"
"21","at.level(trait, 1):time:traitPC1.PenID:HenID",-6.18148240121633,-8.57781095865478,-3.89793695993236,2700.00000000001,NA,"random","BV_model_S2"
"22","at.level(trait, 1):time2:traitPC1.PenID:HenID",2.53821198072146,1.48472787404038,3.67442513311745,2700,NA,"random","BV_model_S2"
"23","traitPC1:traitrel_severity.PenID:HenID",-0.0613877470912695,-0.309033005185285,0.181385794908249,2721.23923054589,NA,"random","BV_model_S2"
"24","traitrel_severity:traitrel_severity.PenID:HenID",0.215256903205294,0.141252926138159,0.299121958316249,111.818253741101,NA,"random","BV_model_S2"
"25","at.level(trait, 1):time:traitrel_severity.PenID:HenID",0.262179800102127,-0.233039232953339,0.717388141111087,2930.26985367817,NA,"random","BV_model_S2"
"26","at.level(trait, 1):time2:traitrel_severity.PenID:HenID",-0.166292881452313,-0.388784966677642,0.0792949088459018,2875.66537969353,NA,"random","BV_model_S2"
"27","traitPC1:at.level(trait, 1):time.PenID:HenID",-6.18148240121633,-8.57781095865479,-3.89793695993236,2700.00000000001,NA,"random","BV_model_S2"
"28","traitrel_severity:at.level(trait, 1):time.PenID:HenID",0.262179800102127,-0.233039232953339,0.717388141111087,2930.26985367817,NA,"random","BV_model_S2"
"29","at.level(trait, 1):time:at.level(trait, 1):time.PenID:HenID",13.4606665774615,8.90594343399989,18.5026551571048,2700,NA,"random","BV_model_S2"
"30","at.level(trait, 1):time2:at.level(trait, 1):time.PenID:HenID",-6.3735099566234,-8.79448761494034,-4.0212952266989,2700,NA,"random","BV_model_S2"
"31","traitPC1:at.level(trait, 1):time2.PenID:HenID",2.53821198072146,1.48472787404038,3.67442513311745,2700,NA,"random","BV_model_S2"
"32","traitrel_severity:at.level(trait, 1):time2.PenID:HenID",-0.166292881452313,-0.388784966677642,0.0792949088459014,2875.66537969353,NA,"random","BV_model_S2"
"33","at.level(trait, 1):time:at.level(trait, 1):time2.PenID:HenID",-6.3735099566234,-8.79448761494034,-4.0212952266989,2700,NA,"random","BV_model_S2"
"34","at.level(trait, 1):time2:at.level(trait, 1):time2.PenID:HenID",3.37672013771413,2.18278387469619,4.62734155768205,2700,NA,"random","BV_model_S2"
"35","traitPC1.units",0.257337789644802,0.244446628525268,0.270069059904334,2700,NA,"residual","BV_model_S2"
"36","traitrel_severity.units",1e-04,1e-04,1e-04,0,NA,"residual","BV_model_S2"
