"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","modelName"
"1","traitPC1",-0.658832391746147,-0.958720625829301,-0.373089386848733,6382.80832882773,0.000168067226890756,"fixed","BV_model_S2"
"2","traitseverity",48.4088472823407,31.3223726475844,67.02401874715,5950.00000000001,0.000168067226890756,"fixed","BV_model_S2"
"3","traitPC1:TreatmentOFH",-0.304755106957463,-0.591610139410477,-0.0048543932789471,6326.56118328585,0.0436974789915966,"fixed","BV_model_S2"
"4","traitseverity:TreatmentOFH",6.90257522009689,0.37870867041056,13.2922705146048,5950.00000000001,0.0332773109243698,"fixed","BV_model_S2"
"5","at.level(trait, 1):time",2.33530935542617,1.91498473599495,2.78599201635006,6067.118560893,0.000168067226890756,"fixed","BV_model_S2"
"6","at.level(trait, 1):time2",-1.08818823999327,-1.32768536428921,-0.87346355651971,6122.50570849477,0.000168067226890756,"fixed","BV_model_S2"
"7","at.level(trait, 1):temperature_C_avg_scale",-0.0288276594280969,-0.0499545677084825,-0.00945322688312444,5949.99999999999,0.0053781512605042,"fixed","BV_model_S2"
"8","at.level(trait, 2):Predictability_mean",17.490948293023,1.70509192926693,34.5099485742976,5949.99999999999,0.0423529411764705,"fixed","BV_model_S2"
"9","at.level(trait, 2):nbr_daysnomvt_over_3days",5.40046919206289,1.37214045893779,9.15294174265728,5950,0.00840336134453779,"fixed","BV_model_S2"
"10","at.level(trait, 2):InitialWeight_scale",2.36474466500626,-0.966234738734784,5.69285973752267,5949.99999999999,0.158655462184874,"fixed","BV_model_S2"
"11","at.level(trait, 2):CLASSMEXP",-2.3754070776694,-10.2391112518526,5.08282423185483,5662.96686775394,0.546554621848739,"fixed","BV_model_S2"
"12","at.level(trait, 2):CLASSREXP",-0.529249658601934,-9.13912751850148,7.81783203515533,5654.0052470003,0.905882352941176,"fixed","BV_model_S2"
"13","traitPC1:traitPC1.HenID",1.2332649201449,0.840326326373255,1.66321294522109,5950,NA,"random","BV_model_S2"
"14","traitseverity:traitPC1.HenID",0.627345574883673,-3.53701686662745,4.80443328487596,5949.99999999999,NA,"random","BV_model_S2"
"15","at.level(trait, 1):time:traitPC1.HenID",-1.37942120451077,-2.03072873600473,-0.802350841483145,5950,NA,"random","BV_model_S2"
"16","at.level(trait, 1):time2:traitPC1.HenID",0.402186899189278,0.138882256791135,0.710087246862823,5950.00000000002,NA,"random","BV_model_S2"
"17","traitPC1:traitseverity.HenID",0.627345574883673,-3.53701686662746,4.80443328487596,5950,NA,"random","BV_model_S2"
"18","traitseverity:traitseverity.HenID",223.412508633989,156.120126593158,301.591760038228,6763.18735305845,NA,"random","BV_model_S2"
"19","at.level(trait, 1):time:traitseverity.HenID",4.88276702084564,-2.31670937639985,12.3991955197189,6514.53963263614,NA,"random","BV_model_S2"
"20","at.level(trait, 1):time2:traitseverity.HenID",-3.59514504098926,-7.68649565162336,-0.0982332850253168,6505.46176557195,NA,"random","BV_model_S2"
"21","traitPC1:at.level(trait, 1):time.HenID",-1.37942120451077,-2.03072873600473,-0.802350841483145,5950,NA,"random","BV_model_S2"
"22","traitseverity:at.level(trait, 1):time.HenID",4.88276702084564,-2.31670937639985,12.3991955197189,6514.53963263614,NA,"random","BV_model_S2"
"23","at.level(trait, 1):time:at.level(trait, 1):time.HenID",3.47756987317089,2.30040315642557,4.76597197719081,5950.00000000001,NA,"random","BV_model_S2"
"24","at.level(trait, 1):time2:at.level(trait, 1):time.HenID",-1.56244468417803,-2.18966434846546,-0.95974703327907,5950.00000000003,NA,"random","BV_model_S2"
"25","traitPC1:at.level(trait, 1):time2.HenID",0.402186899189278,0.138882256791135,0.710087246862822,5950.00000000002,NA,"random","BV_model_S2"
"26","traitseverity:at.level(trait, 1):time2.HenID",-3.59514504098926,-7.68649565162336,-0.0982332850253176,6505.46176557195,NA,"random","BV_model_S2"
"27","at.level(trait, 1):time:at.level(trait, 1):time2.HenID",-1.56244468417803,-2.18966434846546,-0.95974703327907,5950.00000000003,NA,"random","BV_model_S2"
"28","at.level(trait, 1):time2:at.level(trait, 1):time2.HenID",0.893508814512766,0.574112878042454,1.22518879936551,5949.99999999999,NA,"random","BV_model_S2"
"29","traitPC1.units",0.259032164073094,0.2456787744078,0.272471365837848,5950.00000000001,NA,"residual","BV_model_S2"
"30","traitseverity.units",1e-04,1e-04,1e-04,0,NA,"residual","BV_model_S2"
