"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","modelName"
"1","(Intercept)",-0.158664922672159,-0.485813668576156,0.185636489273747,4000.00000000001,0.324,"fixed","RR_model1"
"2","cDIB_scale",1.08051944526086,0.925115867721615,1.23938215224189,3772.09510338287,0.00025,"fixed","RR_model1"
"3","cDIB2_scale",-0.80738748310099,-0.926917220254836,-0.669850875136035,4000,0.00025,"fixed","RR_model1"
"4","avgDIB_scale",0.109070782105285,-0.150648905586422,0.387603314986336,3999.99999999999,0.359,"fixed","RR_model1"
"5","Treatment_encoded",-0.0742337951061861,-0.360468121933081,0.173394905788882,4000,0.4905,"fixed","RR_model1"
"6","CLASSMEXP",0.302947845370864,-0.0502777825749945,0.64323355839224,4000,0.0974999999999999,"fixed","RR_model1"
"7","CLASSOther",0.060654537946328,-0.313273614243371,0.455945253284881,4000.00000000001,0.7715,"fixed","RR_model1"
"8","temperature_C_avg_scale",-0.0416016251793578,-0.0623808428790653,-0.016462288236653,3999.99999999999,0.00025,"fixed","RR_model1"
"9","InitialWeight_kg_scale",-0.050332168515603,-0.202118985096604,0.0993807036211365,4000,0.5085,"fixed","RR_model1"
"10","PenID",0.101152830318561,2.0455957610111e-09,0.375701618114036,3823.05292506359,NA,"random","RR_model1"
"11","(Intercept):(Intercept).PenID:HenID",0.451931622915951,0.314614323684795,0.619216336923172,4000,NA,"random","RR_model1"
"12","cDIB_scale:(Intercept).PenID:HenID",0.0494571682937454,-0.0190931953050882,0.124363570738184,4000,NA,"random","RR_model1"
"13","(Intercept):cDIB_scale.PenID:HenID",0.0494571682937454,-0.0190931953050882,0.124363570738184,4000,NA,"random","RR_model1"
"14","cDIB_scale:cDIB_scale.PenID:HenID",0.188395629690346,0.130398819206973,0.253035055486477,4000,NA,"random","RR_model1"
"15","units",0.313194070802295,0.297885118758566,0.329336673366346,4000.00000000001,NA,"residual","RR_model1"
