"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","modelName"
"1","(Intercept)",-0.154261729193973,-0.516441734704131,0.202198566636071,3519.40607774245,0.344,"fixed","RR_model_Q1"
"2","cDIB_scale",1.09718935010747,0.790586851777334,1.41337370467954,4000,0.00025,"fixed","RR_model_Q1"
"3","cDIB2_scale",-0.822857136089596,-1.11280862222065,-0.520011202454043,4000,0.00025,"fixed","RR_model_Q1"
"4","avgDIB_scale",0.103683965590871,-0.17194963129441,0.367751117399166,4000.00000000001,0.3905,"fixed","RR_model_Q1"
"5","Treatment_encoded",-0.0555897032378652,-0.336185046915489,0.193256980666774,4000,0.625,"fixed","RR_model_Q1"
"6","CLASSMEXP",0.313372593031893,-0.0452654700929997,0.64630569392466,3730.65965311925,0.0825,"fixed","RR_model_Q1"
"7","CLASSOther",0.0299128827447795,-0.350326019033673,0.439783431342221,4000,0.869,"fixed","RR_model_Q1"
"8","temperature_C_avg_scale",-0.0419901766492339,-0.0634356998780277,-0.0221377032576129,4000.00000000001,0.00025,"fixed","RR_model_Q1"
"9","InitialWeight_kg_scale",-0.0421637990927012,-0.192641744273715,0.109045773016987,3661.88780681841,0.572,"fixed","RR_model_Q1"
"10","PenID",0.108610345720197,1.1180162467779e-07,0.394590733799705,4000.00000000001,NA,"random","RR_model_Q1"
"11","(Intercept):(Intercept).PenID:HenID",0.460163773653931,0.319234893296319,0.630215043928931,4000,NA,"random","RR_model_Q1"
"12","cDIB_scale:(Intercept).PenID:HenID",0.202981514758782,-0.0237793869842045,0.453874100788504,4000,NA,"random","RR_model_Q1"
"13","cDIB2_scale:(Intercept).PenID:HenID",-0.151828967091193,-0.376760421746655,0.064180913411181,4000,NA,"random","RR_model_Q1"
"14","(Intercept):cDIB_scale.PenID:HenID",0.202981514758782,-0.0237793869842045,0.453874100788504,4000,NA,"random","RR_model_Q1"
"15","cDIB_scale:cDIB_scale.PenID:HenID",1.82913986872325,1.20301708541687,2.50342829996774,3999.99999999999,NA,"random","RR_model_Q1"
"16","cDIB2_scale:cDIB_scale.PenID:HenID",-1.63416672210737,-2.24455960020105,-1.04295211150824,4000,NA,"random","RR_model_Q1"
"17","(Intercept):cDIB2_scale.PenID:HenID",-0.151828967091193,-0.376760421746655,0.064180913411181,4000,NA,"random","RR_model_Q1"
"18","cDIB_scale:cDIB2_scale.PenID:HenID",-1.63416672210737,-2.24455960020105,-1.04295211150824,4000,NA,"random","RR_model_Q1"
"19","cDIB2_scale:cDIB2_scale.PenID:HenID",1.64123184676323,1.07360941059886,2.25935103443522,4000,NA,"random","RR_model_Q1"
"20","units",0.265696293911131,0.252005198168417,0.279401468010461,4000.00000000001,NA,"residual","RR_model_Q1"
