"","WIB","HenID","RPen","DIB","CLASS","TrackingSystemID","PenID","temperature_C_avg","Treatment","tobeusedPCA","RearingPenID","InitialWeight","Treatment_encoded","perc_duration_5_Zone","perc_duration_4_Zone","perc_duration_3_Zone","perc_duration_2_Zone","perc_1_Zone_while_WG_open","nbr_stays_2_Zone_perh","nbr_stays_4_Zone_perh","nbr_stays_3_Zone_perh","nbr_stays_5_Zone_perh","nbr_stays_1_Zone_perh","in_WG_15mnAfterOpening","SleepingHeight","vertical_travel_distance_perh","avgDIB","severity","Feathers","cDIB","cDIBfact","InitialWeight_kg","PC1","PC2","PC3","cDIB2","temperature_C_avg_scale","cDIB2_scale","cDIB_scale","avgDIB_scale","InitialWeight_kg_scale","ri1_fit_marginalnull","ri2_fit_marginalnull","rr1_fit_marginalnull","rr2_fit_marginalnull","rrq1_fit_marginalnull","rrq2_fit_marginalnull","ri1_fit_marginalnull","ri2_fit_marginalnull","rr1_fit_marginalnull","rr2_fit_marginalnull","rrq1_fit_marginalnull","rrq2_fit_marginalnull"
"1",2,"hen_134",4,11,"MEXP","TrackingSystem 10-12","pen10",11.5,"TRAN",1,4,1112,-1,100,0,0,0,0,0,0,0,0.1,0,0,3,0,33.3571428571429,34,73,11,11,1.112,-1.61343583401037,-1.25557536310364,-0.448008131737884,121,0.208096564479498,-1.39413338163335,-1.8335663476661,-0.367755380537164,-0.914295901638055,-1.71231665672839,-1.70999466572099,-2.05479928605017,-2.0547228146049,-1.6322023134908,-1.64347797171187,-0.591588188555342,-0.607577778692599,-0.639831559781071,-0.644375080685432,-0.658214459577307,-0.66851788268116
"2",2,"hen_134",4,12,"MEXP","TrackingSystem 10-12","pen10",10.1666666666667,"TRAN",0,4,1112,-1,86,0,2,12,0,0.1,0.1,0.1,0.2,0,0,3,0.6,33.3571428571429,34,73,12,12,1.112,-1.29886198085825,-1.08655219699778,-0.489827490633057,144,-0.211212171184112,-1.3664746717386,-1.75241174686089,-0.367755380537164,-0.914295901638055,-1.63317707606477,-1.63092119168072,-1.95863582761609,-1.95860378468608,-1.59106281668118,-1.60143655845446,-0.512448607891722,-0.528504304652326,-0.557029806850895,-0.56170836378053,-0.574324814792454,-0.58440363813931
"3",2,"hen_134",4,13,"MEXP","TrackingSystem 10-12","pen10",9,"TRAN",0,4,1112,-1,100,0,0,0,0,0,0,0,0.1,0,0,3,0,33.3571428571429,34,73,13,13,1.112,-1.61343583401037,-1.25557536310364,-0.448008131737884,169,-0.578107314889791,-1.33641085663562,-1.67125714605569,-0.367755380537164,-0.914295901638055,-1.55799215245814,-1.5557968764278,-1.86659471162963,-1.86660300323056,-1.55149827958474,-1.56100443719259,-0.437263684285093,-0.453379989399404,-0.478350396368331,-0.483159895338925,-0.494615083976382,-0.504475984662719
"4",3,"hen_134",4,16,"MEXP","TrackingSystem 10-12","pen10",7.83333333333333,"TRAN",1,4,1112,-1,88,1,2,10,0,0.1,0.1,0.1,0.2,0,0,3,0.6,33.3571428571429,34,73,16,16,1.112,-1.33786019669877,-1.04446122932008,-0.490418565364736,256,-0.94500245859546,-1.23178878007723,-1.42779334364007,-0.367755380537164,-0.914295901638055,-1.37327041352945,-1.37120341685082,-1.6326493432114,-1.6327392960782,-1.45986127445561,-1.46696052128867,-0.252541945356398,-0.268786529822426,-0.284490144461817,-0.289653127228311,-0.298172223221933,-0.307409266532964
"5",3,"hen_134",4,17,"MEXP","TrackingSystem 10-12","pen10",10.5,"TRAN",0,4,1112,-1,98,0,2,0,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,3,0.363636363636364,33.3571428571429,34,73,17,17,1.112,-1.55968579532699,-1.07455981400887,-0.449306023145187,289,-0.106384987268218,-1.19210454414129,-1.34663874283487,-0.367755380537164,-0.914295901638055,-1.35452870583025,-1.3524515037093,-1.59852691854721,-1.59860573125762,-1.46841283992947,-1.47475772079155,-0.233800237657196,-0.250034616680908,-0.263729425301532,-0.268971875421651,-0.276998411998556,-0.286020130100015
"6",3,"hen_134",4,18,"MEXP","TrackingSystem 10-12","pen10",9.83333333333333,"TRAN",0,4,1112,-1,100,0,0,0,0,0,0,0,0.0909090909090909,0,0,3,0,33.3571428571429,34,73,18,18,1.112,-1.61020735602257,-1.26476185586432,-0.449444396180181,324,-0.316039355100029,-1.15001520299711,-1.26548414202966,-0.367755380537164,-0.914295901638055,-1.29484079512126,-1.29280184902871,-1.52273653358492,-1.52283890550997,-1.43232138942868,-1.43797288553025,-0.17411232694821,-0.190384962000318,-0.201300745843149,-0.206657362687922,-0.213786539056117,-0.222626257972602
"7",3,"hen_134",4,19,"MEXP","TrackingSystem 10-12","pen10",10.5,"TRAN",0,4,1112,-1,94,1,1,5,0,0.0909090909090909,0.181818181818182,0.181818181818182,0.181818181818182,0,0,3,0.727272727272727,33.3571428571429,34,73,19,19,1.112,-1.43490110948763,-0.95685562307748,-0.464710885428144,361,-0.106384987268218,-1.10552075664469,-1.18432954122445,-0.367755380537164,-0.914295901638055,-1.25407449482486,-1.25205031991095,-1.46633192531882,-1.46644083135575,-1.41321089053701,-1.41819445118439,-0.133346026651806,-0.149633432882552,-0.158257843080947,-0.163711601547611,-0.170160571978407,-0.178816085830355
"8",3,"hen_134",4,20,"MEXP","TrackingSystem 10-12","pen10",11,"TRAN",0,4,1112,-1,84,0,1,9,14.8950617283951,0.272727272727273,0.0909090909090909,0.181818181818182,0.181818181818182,0.444444444444444,0,3,0.727272727272727,33.3571428571429,34,73,20,20,1.112,-1.47366952469135,-1.09849763110023,0.382160669559673,400,0.0508557886056402,-1.05862120508403,-1.10317494041925,-0.367755380537164,-0.914295901638055,-1.21298657919813,-1.21097681621611,-1.40968867828645,-1.40980371905621,-1.39127363938826,-1.39562613485695,-0.0922581110250818,-0.108559929187717,-0.11497630155248,-0.12052680226199,-0.126312806899208,-0.13479333077625
"9",3,"hen_134",4,21,"MEXP","TrackingSystem 10-12","pen10",12.1666666666667,"TRAN",0,4,1112,-1,53,10,15,14,19.0297619047619,0.636363636363636,1.45454545454545,1.18181818181818,0.818181818181818,0.642857142857143,1,3,4,33.3571428571429,34,73,21,21,1.112,-1.04758729522607,1.05324354955107,1.38547049523384,441,0.417750932311319,-1.00931654831513,-1.02202033961404,-0.367755380537164,-0.914295901638055,-1.18226772920937,-1.18025917135526,-1.36370924552251,-1.36382078513288,-1.37751391590809,-1.38126587149073,-0.0615392610363164,-0.0778422843268635,-0.08235857429244,-0.0879961813525756,-0.0932475237441948,-0.101555927753079
"10",4,"hen_134",4,22,"MEXP","TrackingSystem 10-12","pen10",15.1666666666667,"TRAN",1,4,1112,-1,60,14,10,15,1.01470588235294,0.545454545454545,1.63636363636364,1.27272727272727,1,0.176470588235294,1,3,4.54545454545455,33.3571428571429,34,73,22,22,1.112,-0.980817407800305,1.60399929820282,0.430718894027537,484,1.36119558755447,-0.957606786337998,-0.940865738808836,-0.367755380537164,-0.914295901638055,-1.17688489821415,-1.17484635210386,-1.34365706127556,-1.34374253271588,-1.38733771199246,-1.39051077000562,-0.0561564300411009,-0.0724294650754664,-0.0756680955493972,-0.0813702419494883,-0.0863707144093156,-0.0945009856807488
"11",4,"hen_134",4,23,"MEXP","TrackingSystem 10-12","pen10",15.3333333333333,"TRAN",0,4,1112,-1,61,13,6,19,1.08457711442786,0.5,1.91666666666667,1,1.33333333333333,0.17910447761194,0,3,4.83333333333333,33.3571428571429,34,73,23,23,1.112,-1.02482925922089,2.11034423422678,-0.293131831220897,529,1.4136091795124,-0.903491919152624,-0.859711138003631,-0.367755380537164,-0.914295901638055,-1.13697027279012,-1.13494249136002,-1.28847838855133,-1.28856694928471,-1.35912106005758,-1.361772394722,-0.0162418046170692,-0.0325256043316289,-0.0338511283290713,-0.0396469715322409,-0.0440584113107812,-0.0520400688796281
"12",4,"hen_134",4,24,"MEXP","TrackingSystem 10-12","pen10",12.6666666666667,"TRAN",0,4,1112,-1,76,12,5,7,3.30687830687831,0.333333333333333,1.41666666666667,0.75,1,0.19047619047619,0,3,3.33333333333333,33.3571428571429,34,73,24,24,1.112,-1.33642305365117,1.30080631619737,-0.207841500862618,576,0.574991708185177,-0.84697194675901,-0.778556537198425,-0.367755380537164,-0.914295901638055,-1.06252385293728,-1.06054758912375,-1.19817322734982,-1.19829403483939,-1.29286396010345,-1.29505074563987,0.0582046152357763,0.0418692979046464,0.0430923273685352,0.0371736298991642,0.033689385551406,0.0258268226502809
