TrackingSystemID,level,DOA,WOA,DIB,FoodPenID,BS_type,Treatment,CLASS,PenID,temperature_C_avg,HenID,across_context,KBF_interp,weight_interp,WentinWG,mid_cum_Z4_h_Morning,Sleeping_Uppest,vertical_travel_distance_fulllight_perinsideh,food_sameDurTiming_r50_final,food_sameDurTiming_r50_AB_final,food_sameDurTiming_r50_AP_final
TrackingSystem 10-12,2020-11-29,179,26,61,FoodPenID9-12,LP2,TRAN,REXP,pen10,2.1666666666666665,hen_131,1,0.0,1747.7,1,4.028333333333333,1,6.366423013440226,0.6,-0.18,-0.22
TrackingSystem 10-12,2020-12-06,186,27,68,FoodPenID9-12,LP2,TRAN,REXP,pen10,2.1666666666666665,hen_131,0,0.0,1766.0166666666669,1,4.046388888888889,1,5.418036357875559,0.2,0.27,0.11
TrackingSystem 10-12,2020-12-13,193,28,75,FoodPenID9-12,LP2,TRAN,REXP,pen10,5.833333333333333,hen_131,0,0.0,1784.3333333333337,1,3.921666666666667,1,7.0372976776917655,0.38,-0.24,-0.25
TrackingSystem 10-12,2020-12-20,200,29,82,FoodPenID9-12,time,TRAN,REXP,pen10,5.5,hen_131,0,0.0,1802.65,1,4.586944444444445,1,5.288127518510431,0.71,0.01,0.01
TrackingSystem 10-12,2020-12-27,207,30,89,FoodPenID9-12,cold,TRAN,REXP,pen10,-2.0,hen_131,1,0.0,1820.9666666666667,1,3.8497222222222223,1,4.4875540493163495,0.66,0.12,0.06
TrackingSystem 10-12,2020-12-30,210,30,92,FoodPenID9-12,TypicalVaccinationDay,TRAN,REXP,pen10,2.1666666666666665,hen_131,0,0.0,1828.8166666666668,1,3.901388888888889,1,6.682651403820867,0.07,-0.4,0.14
TrackingSystem 10-12,2021-01-03,214,31,96,FoodPenID9-12,time,TRAN,REXP,pen10,0.8333333333333334,hen_131,0,0.0,1839.2833333333333,1,3.885555555555555,1,7.31216586506218,0.48,-0.07,0.4
TrackingSystem 10-12,2021-01-05,216,31,98,FoodPenID9-12,cold,TRAN,REXP,pen10,-1.0,hen_131,0,0.4285714285714285,1842.5392857142856,1,4.071666666666667,1,6.788401223759404,0.47,-0.1,0.12
TrackingSystem 10-12,2021-01-09,220,32,102,FoodPenID9-12,cold,TRAN,REXP,pen10,-1.3333333333333333,hen_131,0,2.142857142857143,1845.0964285714283,1,4.426944444444445,1,6.150341685649203,0.51,-0.19,0.08
TrackingSystem 10-12,2021-01-17,228,33,110,FoodPenID9-12,time,TRAN,REXP,pen10,1.8333333333333333,hen_131,0,5.571428571428571,1850.2107142857144,1,5.2725,1,6.392745820345707,0.59,0.17,0.13
TrackingSystem 10-12,2021-01-24,235,34,117,FoodPenID9-12,time,TRAN,REXP,pen10,3.5,hen_131,0,8.571428571428571,1854.6857142857143,1,3.968888888888889,1,6.357249798456754,0.31,0.32,0.49
TrackingSystem 10-12,2021-01-31,242,35,124,FoodPenID9-12,time,TRAN,REXP,pen10,7.0,hen_131,0,11.571428571428571,1859.1607142857144,1,4.4319444444444445,1,4.826106940401409,0.64,-0.16,0.07
TrackingSystem 10-12,2020-11-29,179,26,61,FoodPenID9-12,LP2,TRAN,MEXP,pen10,2.1666666666666665,hen_134,1,27.142857142857142,1609.9285714285716,1,4.49,0,4.387174108480672,-0.13,0.04,0.28
TrackingSystem 10-12,2020-12-06,186,27,68,FoodPenID9-12,LP2,TRAN,MEXP,pen10,2.1666666666666665,hen_134,0,23.80952380952381,1644.3785714285714,1,4.826111111111111,0,7.152081056918645,-0.18,-0.1,0.2
TrackingSystem 10-12,2020-12-13,193,28,75,FoodPenID9-12,LP2,TRAN,MEXP,pen10,5.833333333333333,hen_134,0,20.476190476190474,1678.8285714285714,1,5.086944444444445,0,5.187618882932734,0.02,-0.02,0.45
TrackingSystem 10-12,2020-12-20,200,29,82,FoodPenID9-12,time,TRAN,MEXP,pen10,5.5,hen_134,0,17.142857142857146,1713.2785714285717,1,5.924166666666666,1,4.249000571102227,-0.1,-0.04,-0.18
TrackingSystem 10-12,2020-12-27,207,30,89,FoodPenID9-12,cold,TRAN,MEXP,pen10,-2.0,hen_134,1,13.80952380952381,1747.7285714285713,1,5.0925,0,3.783969728242174,-0.22,-0.23,0.0
TrackingSystem 10-12,2020-12-30,210,30,92,FoodPenID9-12,TypicalVaccinationDay,TRAN,MEXP,pen10,2.1666666666666665,hen_134,0,12.380952380952383,1762.492857142857,1,4.895555555555555,1,6.336802197377075,-0.15,-0.59,0.15
TrackingSystem 10-12,2021-01-03,214,31,96,FoodPenID9-12,time,TRAN,MEXP,pen10,0.8333333333333334,hen_134,0,10.476190476190478,1782.178571428571,1,4.836388888888889,1,5.923884966419839,0.04,0.04,0.01
TrackingSystem 10-12,2021-01-05,216,31,98,FoodPenID9-12,cold,TRAN,MEXP,pen10,-1.0,hen_134,0,9.714285714285714,1783.992857142857,1,4.686388888888889,1,4.686782049318426,-0.02,0.45,0.33
TrackingSystem 10-12,2021-01-09,220,32,102,FoodPenID9-12,cold,TRAN,MEXP,pen10,-1.3333333333333333,hen_134,0,8.571428571428571,1771.5642857142857,1,5.324722222222222,0,5.494008591453764,0.45,0.3,-0.12
TrackingSystem 10-12,2021-01-17,228,33,110,FoodPenID9-12,time,TRAN,MEXP,pen10,1.8333333333333333,hen_134,0,6.285714285714287,1746.7071428571428,1,5.529444444444445,1,5.414368902086306,-0.14,-0.01,0.05
TrackingSystem 10-12,2021-01-24,235,34,117,FoodPenID9-12,time,TRAN,MEXP,pen10,3.5,hen_134,0,4.285714285714287,1724.9571428571428,1,6.142222222222222,1,5.101395990118918,-0.38,0.12,0.17
TrackingSystem 10-12,2021-01-31,242,35,124,FoodPenID9-12,time,TRAN,MEXP,pen10,7.0,hen_134,0,2.2857142857142865,1703.2071428571428,1,5.6963888888888885,1,4.11946446961895,-0.16,-0.16,0.23
TrackingSystem 10-12,2021-02-07,249,36,131,FoodPenID9-12,time,TRAN,MEXP,pen10,6.166666666666667,hen_134,0,3.2,1708.1742857142856,1,4.897222222222222,1,4.758849944596722,0.5,0.1,0.36
TrackingSystem 10-12,2021-02-21,263,38,145,FoodPenID9-12,time,TRAN,MEXP,pen10,13.0,hen_134,0,6.0,1727.0142857142855,1,5.545833333333333,1,5.382628788908522,0.0,0.1,0.11
TrackingSystem 10-12,2021-02-28,270,39,152,FoodPenID9-12,time,TRAN,MEXP,pen10,6.166666666666667,hen_134,0,7.4,1736.4342857142856,1,6.523055555555556,1,3.4960108155454424,0.07,0.16,0.09
TrackingSystem 10-12,2021-03-07,277,40,159,FoodPenID9-12,time,TRAN,MEXP,pen10,8.833333333333334,hen_134,0,8.8,1745.8542857142857,1,5.532222222222222,1,4.231279620853081,0.16,-0.27,0.11
TrackingSystem 10-12,2021-03-09,279,40,161,FoodPenID9-12,TypicalVaccinationDay,TRAN,MEXP,pen10,7.166666666666667,hen_134,1,9.2,1748.5457142857142,1,4.775277777777778,0,6.335389622677213,-0.25,-0.34,-0.19
TrackingSystem 10-12,2021-03-14,284,41,166,FoodPenID9-12,time,TRAN,MEXP,pen10,3.3333333333333335,hen_134,0,10.2,1755.2742857142855,0,5.192500000000001,1,5.952649379932356,0.16,0.29,-0.15
TrackingSystem 10-12,2021-03-21,291,42,173,FoodPenID9-12,time,TRAN,MEXP,pen10,5.333333333333333,hen_134,0,11.6,1764.6942857142856,0,6.442777777777778,0,4.126268320180383,-0.16,0.3,-0.38
TrackingSystem 10-12,2021-04-04,305,44,187,FoodPenID9-12,time,TRAN,MEXP,pen10,11.166666666666666,hen_134,0,14.4,1783.5342857142855,1,6.258055555555555,0,5.234732031574574,0.13,-0.14,-0.14
TrackingSystem 10-12,2021-04-11,312,45,194,FoodPenID9-12,time,TRAN,MEXP,pen10,16.166666666666668,hen_134,0,15.8,1792.9542857142856,1,6.388888888888888,1,4.455273233553776,-0.05,0.09,0.09
TrackingSystem 10-12,2021-04-18,319,46,201,FoodPenID9-12,time,TRAN,MEXP,pen10,8.833333333333334,hen_134,0,17.03846153846154,1792.996153846154,1,6.1675,1,4.777070063694268,0.04,-0.42,-0.07
TrackingSystem 10-12,2021-04-25,326,47,208,FoodPenID9-12,time,TRAN,MEXP,pen10,18.833333333333332,hen_134,0,18.25,1791.475,1,6.716666666666667,1,4.843545783039902,-0.02,-0.04,-0.19
TrackingSystem 10-12,2021-05-02,333,48,215,FoodPenID9-12,time,TRAN,MEXP,pen10,7.833333333333333,hen_134,0,19.46153846153846,1789.953846153846,1,6.149722222222222,1,4.536688751837779,-0.02,-0.05,-0.61
TrackingSystem 10-12,2021-05-07,338,49,220,FoodPenID9-12,TypicalVaccinationDay,TRAN,MEXP,pen10,9.666666666666666,hen_134,0,20.32692307692308,1788.8673076923076,0,6.672222222222222,1,4.735062006764374,-0.33,-0.23,-0.08
TrackingSystem 10-12,2021-05-09,340,49,222,FoodPenID9-12,time,TRAN,MEXP,pen10,21.666666666666668,hen_134,0,20.673076923076923,1788.4326923076924,1,6.643888888888889,1,4.627161893960873,0.16,0.39,-0.07
TrackingSystem 10-12,2021-05-16,347,50,229,FoodPenID9-12,time,TRAN,MEXP,pen10,10.5,hen_134,0,21.884615384615383,1786.9115384615384,1,7.135000000000001,1,4.218643683374915,0.39,-0.14,-0.13
TrackingSystem 10-12,2021-05-23,354,51,236,FoodPenID9-12,time,TRAN,MEXP,pen10,15.0,hen_134,0,23.096153846153847,1785.3903846153846,1,6.395555555555556,1,6.415714540306133,-0.11,-0.33,-0.25
TrackingSystem 10-12,2021-05-30,361,52,243,FoodPenID9-12,time,TRAN,MEXP,pen10,19.0,hen_134,0,24.307692307692307,1783.8692307692309,1,6.518888888888889,1,4.654625239979627,0.25,0.11,-0.15
TrackingSystem 10-12,2021-06-06,368,53,250,FoodPenID9-12,time,TRAN,MEXP,pen10,19.333333333333332,hen_134,0,25.519230769230766,1782.3480769230769,1,7.163333333333333,1,6.15468303770909,0.36,-0.38,-0.36
TrackingSystem 10-12,2021-07-04,396,57,278,FoodPenID9-12,LP10,TRAN,MEXP,pen10,18.666666666666668,hen_134,0,30.365384615384613,1776.2634615384616,1,7.224722222222223,0,3.895950572586675,0.65,0.33,0.29
TrackingSystem 10-12,2021-07-11,403,58,285,FoodPenID9-12,LP10,TRAN,MEXP,pen10,21.333333333333332,hen_134,0,31.57692307692308,1774.7423076923078,1,4.188055555555556,1,5.967532962426644,0.06,0.05,-0.09
TrackingSystem 10-12,2021-07-18,410,59,292,FoodPenID9-12,LP10,TRAN,MEXP,pen10,24.0,hen_134,1,32.78846153846153,1773.2211538461538,1,7.570277777777777,1,3.92096915962854,0.5,-0.01,-0.01
TrackingSystem 10-12,2020-11-29,179,26,61,FoodPenID9-12,LP2,TRAN,MEXP,pen10,2.1666666666666665,hen_138,1,3.1428571428571432,1870.642857142857,1,4.34,1,2.827380952380953,0.64,0.14,0.61
TrackingSystem 10-12,2020-12-06,186,27,68,FoodPenID9-12,LP2,TRAN,MEXP,pen10,2.1666666666666665,hen_138,0,6.80952380952381,1900.7928571428567,1,4.18,0,3.45619234461744,0.23,0.34,0.11
TrackingSystem 10-12,2020-12-13,193,28,75,FoodPenID9-12,LP2,TRAN,MEXP,pen10,5.833333333333333,hen_138,0,10.476190476190476,1930.942857142857,1,3.708055555555556,0,3.4216466674587145,0.38,-0.14,0.04
TrackingSystem 10-12,2020-12-20,200,29,82,FoodPenID9-12,time,TRAN,MEXP,pen10,5.5,hen_138,0,14.142857142857144,1961.0928571428567,1,4.261111111111111,0,4.1014617368873605,0.33,0.17,-0.18
TrackingSystem 10-12,2020-12-27,207,30,89,FoodPenID9-12,cold,TRAN,MEXP,pen10,-2.0,hen_138,1,17.80952380952381,1991.2428571428568,1,3.797222222222222,0,3.700319780721791,0.43,-0.65,-0.02
TrackingSystem 10-12,2020-12-30,210,30,92,FoodPenID9-12,TypicalVaccinationDay,TRAN,MEXP,pen10,2.1666666666666665,hen_138,0,19.380952380952383,2004.1642857142856,1,3.716111111111111,0,4.919006693334389,0.1,0.06,-0.12
TrackingSystem 10-12,2021-01-03,214,31,96,FoodPenID9-12,time,TRAN,MEXP,pen10,0.8333333333333334,hen_138,0,21.47619047619048,2021.392857142857,1,3.905833333333333,0,3.669936526255049,0.2,-0.04,-0.01
TrackingSystem 10-12,2021-01-05,216,31,98,FoodPenID9-12,cold,TRAN,MEXP,pen10,-1.0,hen_138,0,22.142857142857142,2025.321428571429,1,4.010277777777778,1,4.359204718565681,-0.17,-0.13,0.2
TrackingSystem 10-12,2021-01-09,220,32,102,FoodPenID9-12,cold,TRAN,MEXP,pen10,-1.3333333333333333,hen_138,0,22.714285714285715,2023.807142857143,0,4.186111111111111,0,3.517474633596392,0.45,-0.14,-0.04
TrackingSystem 10-12,2021-01-17,228,33,110,FoodPenID9-12,time,TRAN,MEXP,pen10,1.8333333333333333,hen_138,0,23.857142857142858,2020.778571428572,1,4.049722222222222,1,5.115069041424855,0.54,-0.5,0.27
TrackingSystem 10-12,2021-01-24,235,34,117,FoodPenID9-12,time,TRAN,MEXP,pen10,3.5,hen_138,0,24.857142857142858,2018.128571428572,1,4.337777777777778,1,5.125204774163351,0.53,0.2,-0.0
TrackingSystem 10-12,2021-01-31,242,35,124,FoodPenID9-12,time,TRAN,MEXP,pen10,7.0,hen_138,0,25.857142857142858,2015.4785714285715,1,4.012222222222222,0,4.219263358118623,0.56,-0.18,-0.03
TrackingSystem 10-12,2021-02-07,249,36,131,FoodPenID9-12,time,TRAN,MEXP,pen10,6.166666666666667,hen_138,0,27.02857142857143,2027.7771428571427,1,4.255000000000001,1,4.729266620973269,0.57,-0.21,-0.22
TrackingSystem 10-12,2021-02-21,263,38,145,FoodPenID9-12,time,TRAN,MEXP,pen10,13.0,hen_138,0,29.42857142857143,2057.3571428571427,1,4.462777777777778,1,4.079798354793959,0.61,0.31,0.12
TrackingSystem 10-12,2021-02-28,270,39,152,FoodPenID9-12,time,TRAN,MEXP,pen10,6.166666666666667,hen_138,0,30.62857142857143,2072.1471428571426,1,4.473611111111111,1,4.5934107788992575,0.64,-0.22,-0.42
TrackingSystem 10-12,2021-03-07,277,40,159,FoodPenID9-12,time,TRAN,MEXP,pen10,8.833333333333334,hen_138,0,31.82857142857143,2086.937142857143,1,4.554722222222223,1,4.391859181657985,0.66,0.29,-0.12
TrackingSystem 10-12,2021-03-09,279,40,161,FoodPenID9-12,TypicalVaccinationDay,TRAN,MEXP,pen10,7.166666666666667,hen_138,1,32.17142857142857,2091.1628571428573,1,4.835,1,5.000489093221168,0.35,0.33,-0.15
TrackingSystem 10-12,2021-03-14,284,41,166,FoodPenID9-12,time,TRAN,MEXP,pen10,3.3333333333333335,hen_138,0,33.028571428571425,2101.727142857143,1,4.356944444444444,0,4.3350376058590125,0.82,0.4,0.25
