"","Estimate","Std. Error","t value","Pr(>|t|)","PenID"
"Asym",0.951943206812654,0.00719301825006865,132.342665306538,9.2112268482724e-79,"3"
"xmid",24.0498186963772,0.197491086338481,121.776729989515,1.70655447759419e-76,"3"
"scal",4.13469871578895,0.169362344408108,24.4133294814677,8.04966314366126e-34,"3"
"Asym1",0.949645201036246,0.00574599193817749,165.270889909646,7.98676281606505e-85,"4"
"xmid1",24.307347335911,0.154615165194042,157.211922293685,1.84883348362253e-83,"4"
"scal1",3.92600560720818,0.132811106724994,29.5608229162458,1.22156418793852e-38,"4"
"Asym2",0.964322878465257,0.00723618084772293,133.264065500617,5.95871136940673e-79,"5"
"xmid2",24.5622577915,0.185733213432821,132.244832992049,9.64893490455165e-79,"5"
"scal2",3.63583141093105,0.159905608345541,22.7373601748499,4.53152552525702e-32,"5"
"Asym3",0.926349308130131,0.0075761664931735,122.271508811853,1.32324327411661e-76,"6"
"xmid3",25.0000901604382,0.20290530489003,123.210628593411,8.18757452357512e-77,"6"
"scal3",3.74085167896094,0.1744626577885,21.4421339579496,1.20251484617419e-30,"6"
"Asym4",0.948698468654978,0.00719774726039631,131.804915389977,1.18938859019583e-78,"7"
"xmid4",25.0124436614544,0.190061905823244,131.601561886451,1.31044473175083e-78,"7"
"scal4",3.84754490851427,0.163260436661029,23.5669154585369,5.9892603258842e-33,"7"
"Asym5",0.955958341366533,0.0084335948730169,113.351228718029,1.53121440103965e-74,"8"
"xmid5",24.5405627940994,0.236101083461508,103.940915621001,3.49867023268037e-72,"8"
"scal5",4.56230433817231,0.20146595178215,22.6455353761495,5.68955896060352e-32,"8"
"Asym6",0.947763161888556,0.00751679410578909,126.086087838781,1.92516898113186e-77,"9"
"xmid6",24.4956779275162,0.206743916730818,118.48318593775,9.52985819569099e-76,"9"
"scal6",4.2019463334968,0.1770927048375,23.7273824314361,4.07585327673691e-33,"9"
"Asym7",0.939247240163379,0.00650283592132428,144.436558376534,3.79750945664625e-81,"10"
"xmid7",23.7076143711781,0.180093140679368,131.640851404698,1.28611735814117e-78,"10"
"scal7",4.00657498166325,0.154677164407506,25.9028215122155,2.69170682837237e-35,"10"
"Asym8",0.956419255701988,0.0089576927234433,106.770714873812,6.50211446210149e-73,"11"
"xmid8",25.7897144237828,0.237816380006097,108.443810401629,2.4541805169472e-73,"11"
"scal8",4.17799940840293,0.203429351024743,20.537839733337,1.29929018030088e-29,"11"
"Asym9",0.956364464620036,0.00784509244484451,121.906079672588,1.59659369475795e-76,"12"
"xmid9",24.3388337368908,0.207839858369236,117.103783306337,1.98639523644568e-75,"12"
"scal9",3.83838439082499,0.178663191452241,21.4839126046342,1.07929752123606e-30,"12"
